,File,Duration
341,812205003470748.wav,331.44
342,812205003468420.wav,539.16
343,812205003462285.wav,64.08
344,812205003485114.wav,93.3
345,812205003463959.wav,89.82
346,812205003479827.wav,473.16
347,812205003473575.wav,154.98
348,812205003482319.wav,101.52
349,812205003477397.wav,299.34
350,812205003467330.wav,62.82
351,812205003467034.wav,297.84
352,812205003463804.wav,625.02
353,812205003496547.wav,50.46
354,812205003474062.wav,250.98
355,812205003474867.wav,37.2
356,812205003484112.wav,58.98
357,812205003472785.wav,72.42
358,812205003471490.wav,32.64
359,812205003474161.wav,36.66
360,812205003472446.wav,35.28
361,812205003472790.wav,921.0
362,812205003473335.wav,158.1
363,812205003490036.wav,676.5
364,812205003493184.wav,54.42
365,812205003467336.wav,99.6
366,812205003492498.wav,359.7
367,812205003482289.wav,31.44
368,812205003475072.wav,67.44
369,812205003475513.wav,39.0
370,812205003468131.wav,82.38
371,812205003472600.wav,137.1
372,812205003484822.wav,49.38
373,812205003495306.wav,41.16
374,812205003463336.wav,591.18
375,812205003477782.wav,492.78
376,812205003462044.wav,49.5
377,812205003466997.wav,43.44
378,812205003477609.wav,117.72
379,812205003490976.wav,83.7
380,812205003490224.wav,150.6
381,812205003469063.wav,241.56
382,812205003489223.wav,82.08
383,812205003463396.wav,31.68
384,812205003474353.wav,31.56
385,812205003481527.wav,466.02
386,812205003493948.wav,32.52
387,812205003492950.wav,30.9
388,812205003463070.wav,41.64
389,812205003488550.wav,257.82
390,812205003490222.wav,383.64
391,812205003478985.wav,338.4
392,812205003471632.wav,280.14
393,812205003495654.wav,604.26
394,812205003495696.wav,125.58
395,812205003489537.wav,64.98
396,812205003473564.wav,511.5
397,812205003470596.wav,179.82
398,812205003480132.wav,45.18
399,812205003475550.wav,55.62
400,812205003480731.wav,32.28
401,812205003493492.wav,421.56
402,812205003497821.wav,129.42
403,812205003480020.wav,33.66
404,812205003477308.wav,76.68
405,812205003476322.wav,58.68
406,812205003496439.wav,133.44
407,812205003489737.wav,335.94
408,812205003495154.wav,161.16
409,812205003473680.wav,69.66
410,812205003462444.wav,71.28
411,812205003475905.wav,123.96
412,812205003472673.wav,60.18
413,812205003494315.wav,72.66
414,812205003489530.wav,211.02
415,812205003488953.wav,61.86
416,812205003487307.wav,169.32
417,812205003493482.wav,83.16
418,812205003497980.wav,166.14
419,812205003462330.wav,224.94
420,812205003478666.wav,337.32
421,812205003482721.wav,499.56
422,812205003492451.wav,37.5
423,812205003467064.wav,447.06
424,812205003462289.wav,31.02
425,812205003495312.wav,36.54
426,812205003484411.wav,65.34
427,812205003462091.wav,720.06
428,812205003483941.wav,60.54
429,812205003477126.wav,47.34
430,812205003473567.wav,275.76
431,812205003477805.wav,200.4
432,812205003482921.wav,56.64
433,812205003497987.wav,78.48
434,812205003463844.wav,63.72
435,812205003463339.wav,102.3
436,812205003477160.wav,326.46
437,812205003496474.wav,199.86
438,812205003471099.wav,201.18
439,812205003472380.wav,78.36
440,812205003465911.wav,241.2
441,812205003476238.wav,141.36
442,812205003495426.wav,77.34
443,812205003480412.wav,107.1
444,812205003492931.wav,54.24
445,812205003488383.wav,78.78
446,812205003480160.wav,218.7
447,812205003485421.wav,67.26
448,812205003476842.wav,153.06
449,812205003463629.wav,43.44
450,812205003487404.wav,89.58
451,812205003479809.wav,42.66
452,812205003496973.wav,47.94
453,812205003481080.wav,154.98
454,812205003468211.wav,452.4
455,812205003493030.wav,32.82
456,812205003482348.wav,341.52
457,812205003491850.wav,98.76
458,812205003485051.wav,296.82
459,812205003491818.wav,31.56
460,812205003476636.wav,84.6
461,812205003472748.wav,206.88
462,812205003470936.wav,48.06
463,812205003477272.wav,31.56
464,812205003472237.wav,240.54
465,812205003480103.wav,31.14
466,812205003470662.wav,78.96
467,812205003485666.wav,50.52
468,812205003497250.wav,498.36
469,812205003484524.wav,180.18
470,812205003464296.wav,66.18
471,812205003475619.wav,58.92
472,812205003477969.wav,185.16
473,812205003477836.wav,191.04
474,812205003488656.wav,162.48
475,812205003488531.wav,31.5
476,812205003473325.wav,334.44
477,812205003486976.wav,286.56
478,812205003484152.wav,222.36
479,812205003496303.wav,240.78
480,812205003469105.wav,251.64
481,812205003478200.wav,158.1
482,812205003490745.wav,296.04
483,812205003494507.wav,245.4
484,812205003474413.wav,211.74
485,812205003488039.wav,80.34
486,812205003482443.wav,41.82
487,812205003484936.wav,366.12
488,812205003482985.wav,113.16
489,812205003470921.wav,100.68
490,812205003493680.wav,561.96
491,812205003486930.wav,49.92
492,812205003467067.wav,187.02
493,812205003491843.wav,247.92
494,812205003464667.wav,47.4
495,812205003472820.wav,163.08
496,812205003481228.wav,73.5
497,812205003490057.wav,62.04
498,812205003464900.wav,187.98
499,812205003471750.wav,55.92
500,812205003473419.wav,206.34
501,812205003482732.wav,177.48
502,812205003482165.wav,66.72
503,812205003476107.wav,60.3
